env_step,episode,ep_len,episodic_return,avg_return_100
90272,447,97,0.0,5.78
90560,448,173,5.0,5.72
91424,449,140,3.0,5.72
91888,450,199,4.0,5.76
92080,451,245,8.0,5.78
90464,452,156,5.0,5.8
90544,453,280,7.0,5.82
92656,454,205,8.0,5.83
92912,455,180,7.0,5.88
93008,456,299,11.0,5.96
93376,457,177,7.0,5.96
93840,458,389,9.0,5.99
93328,459,429,15.0,6.06
93408,460,351,7.0,6.09
93584,461,170,5.0,6.11
93792,462,154,2.0,6.13
94064,463,142,3.0,6.12
94208,464,225,6.0,6.18
94864,465,403,16.0,6.28
94880,466,81,0.0,6.24
95584,467,136,1.0,6.15
95808,468,155,3.0,6.13
94384,469,165,6.0,6.06
94768,470,172,4.0,6.07
94816,471,166,4.0,5.97
94896,472,374,11.0,6.06
95616,473,175,5.0,6.1
96048,474,143,1.0,6.11
96176,475,209,9.0,6.13
97264,476,233,7.0,6.13
97280,477,154,3.0,6.16
97312,478,159,6.0,6.15
97360,479,82,1.0,6.06
97440,480,191,5.0,6.07
96544,481,80,1.0,6.02
97280,482,232,9.0,6.06
97568,483,295,9.0,6.04
98576,484,209,9.0,6.13
98656,485,209,6.0,6.12
99024,486,227,6.0,6.08
99072,487,309,14.0,6.07
99344,488,258,7.0,6.02
99856,489,161,4.0,6.0
100336,490,173,5.0,5.97
99024,491,156,3.0,5.94
99440,492,177,4.0,5.86
99520,493,139,2.0,5.8
99808,494,174,6.0,5.78
99888,495,182,4.0,5.76
100832,496,396,16.0,5.9
101008,497,200,7.0,5.9
101280,498,87,0.0,5.87
101888,499,179,5.0,5.87
101936,500,151,5.0,5.85
100416,501,166,5.0,5.85
100800,502,285,9.0,5.82
101216,503,141,3.0,5.8
101504,504,142,1.0,5.75
101792,505,188,7.0,5.77
101936,506,284,10.0,5.86
102176,507,146,6.0,5.87
103136,508,170,5.0,5.89
103744,509,184,6.0,5.88
104208,510,187,6.0,5.9
104368,511,137,2.0,5.86
104592,512,181,6.0,5.86
104624,513,424,14.0,5.97
104624,514,272,7.0,5.97
105552,515,482,20.0,6.14
105600,516,189,10.0,6.14
106240,517,383,15.0,6.22
106448,518,565,19.0,6.35
107904,519,638,23.0,6.51
108208,520,163,7.0,6.55
108496,521,141,1.0,6.51
106656,522,385,14.0,6.63
106880,523,155,4.0,6.67
107568,524,661,22.0,6.82
108336,525,302,7.0,6.86
108656,526,380,12.0,6.92
108800,527,184,5.0,6.88
109152,528,142,3.0,6.82
109616,529,185,5.0,6.83
110496,530,183,7.0,6.86
109216,531,301,8.0,6.89
109312,532,160,4.0,6.86
109632,533,189,9.0,6.81
110224,534,195,8.0,6.69
110752,535,199,8.0,6.69
112080,536,498,15.0,6.7
112416,537,383,16.0,6.79
112432,538,201,9.0,6.87
110960,539,141,0.0,6.78
110976,540,232,7.0,6.8
111216,541,190,8.0,6.86
112304,542,369,11.0,6.96
112848,543,118,0.0,6.92
112880,544,178,7.0,6.89
113424,545,191,7.0,6.94
113584,546,200,5.0,6.99
113632,547,151,4.0,7.03
114544,548,435,11.0,7.09
113264,549,154,4.0,7.1
113328,550,275,10.0,7.16
113360,551,158,4.0,7.12
114688,552,197,7.0,7.14
114800,553,214,8.0,7.15
114816,554,202,8.0,7.15
115600,555,142,4.0,7.12
116320,556,95,0.0,7.01
116640,557,399,15.0,7.09
115072,558,235,6.0,7.06
115328,559,168,3.0,6.94
116704,560,391,15.0,7.02
118704,561,211,8.0,7.05
118704,562,227,9.0,7.12
116912,563,484,16.0,7.25
117120,564,286,13.0,7.32
117520,565,376,15.0,7.31
119024,566,425,15.0,7.46
119040,567,149,1.0,7.46
119552,568,552,20.0,7.63
119776,569,195,7.0,7.64
119904,570,187,7.0,7.67
120128,571,188,8.0,7.71
120496,572,186,6.0,7.66
120768,573,382,11.0,7.72
119920,574,183,8.0,7.79
120464,575,171,7.0,7.77
120464,576,218,5.0,7.75
120528,577,167,5.0,7.77
120544,578,154,4.0,7.75
122336,579,117,0.0,7.74
122416,580,248,6.0,7.75
122560,581,240,7.0,7.81
121248,582,177,6.0,7.78
121456,583,224,8.0,7.77
121616,584,385,15.0,7.83
122240,585,234,8.0,7.85
122912,586,159,2.0,7.81
123296,587,301,12.0,7.79
124016,588,219,6.0,7.78
124048,589,235,8.0,7.82
124368,590,182,6.0,7.83
124816,591,161,6.0,7.86
123152,592,224,8.0,7.9
124256,593,212,6.0,7.94
124880,594,227,7.0,7.95
125184,595,199,4.0,7.95
125312,596,187,6.0,7.85
125648,597,230,8.0,7.86
126256,598,218,7.0,7.93
126448,599,206,8.0,7.96
125008,600,175,6.0,7.97
126704,601,242,9.0,8.01
127584,602,278,9.0,8.01
127840,603,265,9.0,8.07
127984,604,186,6.0,8.12
128112,605,685,19.0,8.24
128704,606,281,11.0,8.25
127168,607,372,14.0,8.33
127536,608,125,1.0,8.29
128000,609,138,3.0,8.26
128480,610,383,13.0,8.33
129104,611,278,10.0,8.41
129552,612,181,8.0,8.43
130256,613,270,5.0,8.34
130768,614,143,2.0,8.29
130912,615,234,10.0,8.19
129472,616,220,5.0,8.14
130192,617,196,5.0,8.04
130272,618,391,15.0,8.0
131632,619,384,15.0,7.92
132240,620,211,7.0,7.92
132304,621,224,6.0,7.97
132464,622,142,0.0,7.83
133088,623,349,11.0,7.9
132240,624,301,9.0,7.77
132848,625,418,13.0,7.83
133264,626,188,6.0,7.77
133824,627,227,10.0,7.82
134064,628,189,9.0,7.88
134720,629,406,15.0,7.98
133792,630,391,15.0,8.06
134624,631,178,4.0,8.02
135344,632,167,6.0,8.04
135936,633,295,11.0,8.06
136688,634,406,13.0,8.11
136864,635,379,16.0,8.19
137200,636,324,9.0,8.13
135472,637,136,2.0,7.99
135520,638,575,22.0,8.12
135616,639,242,9.0,8.21
136688,640,257,9.0,8.23
137152,641,157,6.0,8.21
137456,642,223,8.0,8.18
137664,643,134,4.0,8.22
138208,644,171,9.0,8.24
138512,645,231,7.0,8.24
137264,646,231,8.0,8.27
137600,647,281,10.0,8.33
137664,648,189,7.0,8.29
138112,649,188,5.0,8.3
138944,650,174,8.0,8.28
139024,651,160,8.0,8.32
139616,652,263,7.0,8.32
140080,653,151,4.0,8.28
140384,654,174,6.0,8.26
139408,655,365,16.0,8.38
139936,656,190,7.0,8.45
140544,657,280,11.0,8.41
141040,658,217,9.0,8.44
142208,659,242,8.0,8.49
142848,660,182,9.0,8.43
143168,661,164,8.0,8.43
141760,662,173,7.0,8.41
142032,663,292,10.0,8.35
142176,664,387,16.0,8.38
142608,665,480,20.0,8.43
143536,666,648,22.0,8.5
143856,667,171,4.0,8.53
144288,668,141,5.0,8.38
143584,669,302,8.0,8.39
144048,670,160,4.0,8.36
144496,671,246,8.0,8.36
144784,672,291,9.0,8.39
145184,673,442,14.0,8.42
145792,674,249,9.0,8.43
145808,675,381,16.0,8.52
145904,676,229,9.0,8.56
146992,677,213,7.0,8.58
145648,678,228,9.0,8.63
145792,679,209,9.0,8.72
146096,680,147,3.0,8.69
146384,681,203,8.0,8.7
146704,682,178,8.0,8.72
148208,683,160,4.0,8.68
148448,684,219,10.0,8.63
148640,685,369,15.0,8.7
148992,686,181,7.0,8.75
149104,687,207,5.0,8.68
149488,688,174,7.0,8.69
148080,689,398,16.0,8.77
149520,690,195,9.0,8.8
150832,691,236,9.0,8.83
150944,692,250,10.0,8.85
150416,693,184,9.0,8.88
150848,694,394,16.0,8.97
151472,695,161,4.0,8.97
151728,696,396,15.0,9.06
152976,697,390,14.0,9.12
153296,698,281,9.0,9.14
154048,699,863,27.0,9.33
154320,700,646,24.0,9.51
154800,701,796,26.0,9.68
155360,702,437,14.0,9.73
153936,703,410,15.0,9.79
153952,704,395,16.0,9.89
154272,705,189,7.0,9.77
156720,706,248,8.0,9.74
156832,707,181,7.0,9.67
156960,708,168,7.0,9.73
157280,709,397,16.0,9.86
157680,710,233,8.0,9.81
156384,711,385,16.0,9.87
156672,712,420,15.0,9.94
157760,713,158,3.0,9.92
157968,714,206,9.0,9.99
159152,715,493,16.0,10.05
158016,716,330,10.0,10.1
158448,717,158,5.0,10.1
159200,718,218,7.0,10.02
159424,719,410,16.0,10.03
159792,720,168,7.0,10.03
160592,721,373,15.0,10.12
161168,722,197,8.0,10.2
161344,723,485,16.0,10.25
159968,724,480,17.0,10.33
160912,725,198,6.0,10.26
161136,726,249,9.0,10.29
162512,727,201,8.0,10.27
163120,728,286,11.0,10.29
163536,729,223,9.0,10.23
161824,730,85,3.0,10.11
162656,731,237,8.0,10.15
162704,732,226,10.0,10.19
163408,733,396,14.0,10.22
163984,734,182,8.0,10.17
164608,735,174,8.0,10.09
165392,736,171,7.0,10.07
165552,737,134,4.0,10.09
164096,738,291,12.0,9.99
164912,739,727,24.0,10.14
164960,740,189,10.0,10.15
165232,741,286,9.0,10.18
165440,742,821,21.0,10.31
165840,743,146,4.0,10.31
167232,744,292,12.0,10.34
167552,745,165,7.0,10.34
167904,746,184,7.0,10.33
166128,747,255,9.0,10.32
167920,748,171,4.0,10.29
168144,749,165,7.0,10.31
169792,750,400,15.0,10.38
169824,751,377,16.0,10.46
169152,752,501,17.0,10.56
170032,753,674,19.0,10.71
170096,754,376,17.0,10.82
170464,755,287,9.0,10.75
170336,756,202,9.0,10.77
171008,757,578,16.0,10.82
171584,758,368,13.0,10.86
171648,759,370,13.0,10.91
173296,760,185,7.0,10.89
173840,761,612,18.0,10.99
174064,762,191,7.0,10.99
172480,763,409,13.0,11.02
172576,764,190,7.0,10.93
172688,765,193,5.0,10.78
172832,766,427,12.0,10.68
172992,767,414,14.0,10.78
174000,768,172,6.0,10.79
175040,769,203,8.0,10.79
175632,770,197,8.0,10.83
176048,771,210,7.0,10.82
176080,772,193,7.0,10.8
174384,773,241,8.0,10.74
176576,774,187,7.0,10.72
176912,775,180,10.0,10.66
177392,776,188,6.0,10.63
177920,777,245,10.0,10.66
178016,778,503,19.0,10.76
177120,779,386,16.0,10.83
177728,780,562,18.0,10.98
177760,781,181,7.0,10.97
178240,782,521,17.0,11.06
178320,783,186,8.0,11.1
178448,784,161,6.0,11.06
178576,785,291,12.0,11.03
178672,786,387,15.0,11.11
178848,787,166,7.0,11.13
180144,788,277,12.0,11.18
181392,789,320,10.0,11.12
181632,790,372,12.0,11.15
181664,791,193,8.0,11.14
181056,792,266,10.0,11.14
181152,793,283,12.0,11.17
181920,794,161,5.0,11.06
182720,795,194,7.0,11.09
183296,796,642,20.0,11.14
183424,797,567,18.0,11.18
184176,798,380,16.0,11.25
184528,799,241,7.0,11.05
184704,800,350,18.0,10.99
184976,801,225,10.0,10.83
184992,802,374,15.0,10.84
185792,803,370,12.0,10.81
186112,804,536,19.0,10.84
184976,805,156,6.0,10.83
185728,806,175,9.0,10.84
185840,807,415,16.0,10.93
185936,808,205,9.0,10.95
185952,809,367,17.0,10.96
187136,810,192,8.0,10.96
188080,811,140,3.0,10.83
188224,812,143,4.0,10.72
186832,813,371,13.0,10.82
187632,814,294,9.0,10.82
187888,815,387,16.0,10.82
188160,816,192,8.0,10.8
188992,817,185,7.0,10.82
189632,818,372,11.0,10.86
190208,819,394,15.0,10.85
188976,820,196,8.0,10.86
189056,821,184,8.0,10.79
189296,822,147,4.0,10.75
190672,823,409,15.0,10.74
190800,824,376,14.0,10.71
191520,825,371,16.0,10.81
191904,826,183,9.0,10.81
191056,827,144,5.0,10.78
191664,828,383,16.0,10.83
191824,829,357,10.0,10.84
192400,830,183,7.0,10.88
193376,831,383,16.0,10.96
193920,832,179,8.0,10.94
192640,833,302,12.0,10.92
192768,834,387,16.0,11.0
193040,835,204,9.0,11.01
193264,836,519,20.0,11.14
194688,837,271,10.0,11.2
195056,838,199,7.0,11.15
195904,839,393,17.0,11.08
195408,840,276,8.0,11.06
195584,841,304,11.0,11.08
196896,842,394,15.0,11.02
197216,843,375,14.0,11.12
198176,844,270,10.0,11.1
198192,845,347,19.0,11.22
196608,846,203,9.0,11.24
197184,847,228,7.0,11.22
197296,848,629,19.0,11.37
197328,849,398,16.0,11.46
198080,850,121,1.0,11.32
198272,851,194,6.0,11.22
199408,852,175,8.0,11.13
199984,853,241,8.0,11.02
200352,854,189,10.0,10.95
198896,855,96,0.0,10.86
200176,856,308,12.0,10.89
200272,857,467,21.0,10.94
200416,858,262,10.0,10.91
201056,859,370,16.0,10.94
201072,860,196,8.0,10.95
201856,861,185,10.0,10.87
201856,862,364,18.0,10.98
202464,863,137,4.0,10.89
201856,864,178,7.0,10.89
202448,865,165,8.0,10.92
202576,866,395,15.0,10.95
202736,867,273,9.0,10.9
202976,868,247,9.0,10.93
203088,869,205,8.0,10.93
204208,870,380,16.0,11.01
204704,871,268,12.0,11.06
203312,872,142,2.0,11.01
203712,873,244,9.0,11.02
204320,874,245,8.0,11.03
205248,875,285,13.0,11.06
205744,876,193,9.0,11.09
206224,877,182,8.0,11.07
204832,878,372,15.0,11.03
206944,879,330,18.0,11.05
207648,880,336,16.0,11.03
207776,881,286,11.0,11.07
208288,882,613,20.0,11.1
208848,883,292,11.0,11.13
208160,884,152,7.0,11.14
208192,885,409,15.0,11.17
208800,886,376,15.0,11.17
209584,887,174,7.0,11.17
209792,888,222,9.0,11.14
210272,889,292,10.0,11.14
210512,890,145,3.0,11.05
209056,891,388,16.0,11.13
209088,892,817,23.0,11.26
210704,893,247,10.0,11.24
211264,894,190,9.0,11.28
211936,895,364,8.0,11.29
212544,896,300,12.0,11.21
211856,897,200,8.0,11.11
211904,898,306,11.0,11.06
212128,899,415,12.0,11.11
213136,900,245,9.0,11.02
213216,901,170,7.0,10.99
214320,902,277,9.0,10.93
214448,903,145,7.0,10.88
214688,904,174,8.0,10.77
213184,905,551,17.0,10.88
213792,906,164,5.0,10.84
216320,907,158,5.0,10.73
216608,908,271,9.0,10.73
215088,909,247,10.0,10.66
215200,910,303,11.0,10.69
215568,911,408,16.0,10.82
216048,912,819,22.0,11.0
216656,913,556,18.0,11.05
217856,914,166,8.0,11.04
218416,915,241,9.0,10.97
218544,916,156,6.0,10.95
218832,917,234,10.0,10.98
217248,918,544,18.0,11.05
